,sample_id,group,scNiche,annotations_level1,annotations_level2,annotations_level3
BI5XO_A1_gdfjhdbp-1,BI5XO_A1,bright,Niche3,Valvular interstitial cell,VIC-osteogenic,VIC-osteogenic
BI5XO_A1_gdfpjbne-1,BI5XO_A1,bright,Niche3,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BI5XO_A1_gdhkojoa-1,BI5XO_A1,bright,Niche1,Valvular interstitial cell,VIC-transitional,VIC-transitional
BI5XO_A1_gdhlcgjn-1,BI5XO_A1,bright,Niche2,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BI5XO_A1_gdhnfepk-1,BI5XO_A1,bright,Niche3,Endothelial,VEC-vascular,VEC-venous
BI5XO_A1_gdiblgnd-1,BI5XO_A1,bright,Niche2,Valvular interstitial cell,VIC-osteogenic,VIC-osteogenic
BI5XO_A1_gdichdok-1,BI5XO_A1,bright,Niche2,Mononuclear phagocyte,MP-macro,MP-macro-res
BI5XO_A1_gdidamgm-1,BI5XO_A1,bright,Niche3,Mononuclear phagocyte,MP-macro,MP-macro-res
BI5XO_A1_gdidlbdb-1,BI5XO_A1,bright,Niche2,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BI5XO_A1_gdienelp-1,BI5XO_A1,bright,Niche2,Mononuclear phagocyte,MP-macro,MP-macro-res
BI5XO_A1_gdihkbhk-1,BI5XO_A1,bright,Niche2,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BI5XO_A1_gdijimpc-1,BI5XO_A1,bright,Niche2,Valvular interstitial cell,VIC-transitional,VIC-transitional
BI5XO_A1_gdinnhdl-1,BI5XO_A1,bright,Niche2,Valvular interstitial cell,VIC-osteogenic,VIC-osteogenic
BI5XO_A1_gdinohhn-1,BI5XO_A1,bright,Niche2,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BI5XO_A1_gdjakcog-1,BI5XO_A1,bright,Niche2,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BI5XO_A1_gdjamcml-1,BI5XO_A1,bright,Niche2,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BI5XO_A1_gdjfffej-1,BI5XO_A1,bright,Niche3,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BI5XO_A1_gdkgdbhd-1,BI5XO_A1,bright,Niche3,Valvular interstitial cell,VIC-SMC,VIC-SMC
BI5XO_A1_gdkhhknd-1,BI5XO_A1,bright,Niche3,Endothelial,VEC-vascular,VEC-venous
BI5XO_A1_gdkkoapn-1,BI5XO_A1,bright,Niche3,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BI5XO_A1_gdlblegm-1,BI5XO_A1,bright,Niche3,Valvular interstitial cell,VIC-interstitial,VIC-neural-crest
BI5XO_A1_gdldgihc-1,BI5XO_A1,bright,Niche3,Valvular interstitial cell,VIC-SMC,VIC-pericyte
BI5XO_A1_gdlmlble-1,BI5XO_A1,bright,Niche0,Mononuclear phagocyte,MP-macro,MP-macro-res
BI5XO_A1_gdlohlkd-1,BI5XO_A1,bright,Niche3,B cell,plasma,plasma
BI5XO_A1_gdlpooaf-1,BI5XO_A1,bright,Niche3,B cell,plasma,plasma
BI5XO_A1_gdmajbfk-1,BI5XO_A1,bright,Niche3,B cell,plasma,plasma
BI5XO_A1_gdmbfigh-1,BI5XO_A1,bright,Niche3,B cell,plasma,plasma
BI5XO_A1_gdmbjkpl-1,BI5XO_A1,bright,Niche3,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BI5XO_A1_gdmgcgoc-1,BI5XO_A1,bright,Niche3,Mononuclear phagocyte,MP-macro,MP-macro-res
BI5XO_A1_gdmjejfe-1,BI5XO_A1,bright,Niche3,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BI5XO_A1_gdmjfbbb-1,BI5XO_A1,bright,Niche3,Valvular interstitial cell,VIC-interstitial,VIC-interstitial
BI5XO_A1_gdmomako-1,BI5XO_A1,bright,Niche3,Valvular interstitial cell,VIC-SMC,VIC-pericyte
BI5XO_A1_gdnflikm-1,BI5XO_A1,bright,Niche3,Endothelial,VEC-vascular,VEC-capillary
BI5XO_A1_gdnhfjhe-1,BI5XO_A1,bright,Niche3,Valvular interstitial cell,VIC-SMC,VIC-SMC
BI5XO_A1_gdnicglg-1,BI5XO_A1,bright,Niche3,Endothelial,VEC-vascular,VEC-capillary
BI5XO_A1_gdnjkglm-1,BI5XO_A1,bright,Niche3,Valvular interstitial cell,VIC-SMC,VIC-SMC
BI5XO_A1_gdnjpdkh-1,BI5XO_A1,bright,Niche3,Endothelial,VEC-vascular,VEC-venous
BI5XO_A1_gdnkbomd-1,BI5XO_A1,bright,Niche3,Endothelial,VEC-vascular,VEC-arterial
BI5XO_A1_gdnlfcjo-1,BI5XO_A1,bright,Niche3,Endothelial,VEC-vascular,VEC-arterial
BI5XO_A1_gdnlmhhn-1,BI5XO_A1,bright,Niche3,Endothelial,VEC-vascular,VEC-venous
BI5XO_A1_gdoeedoj-1,BI5XO_A1,bright,Niche3,Endothelial,VEC-vascular,VEC-capillary
BI5XO_A1_gdomopdn-1,BI5XO_A1,bright,Niche3,Valvular interstitial cell,VIC-SMC,VIC-SMC
BI5XO_A1_gdonhiel-1,BI5XO_A1,bright,Niche3,Mononuclear phagocyte,MP-macro,MP-macro-res
BI5XO_A1_gdonjkgc-1,BI5XO_A1,bright,Niche3,Mononuclear phagocyte,MP-mono,MP-mono-nonclassical
BI5XO_A1_gdoomjde-1,BI5XO_A1,bright,Niche3,Valvular interstitial cell,VIC-quiescent,VIC-quiescent
BI5XO_A1_gdpanffo-1,BI5XO_A1,bright,Niche3,Valvular interstitial cell,VIC-SMC,VIC-pericyte
BI5XO_A1_gdpkpemh-1,BI5XO_A1,bright,Niche3,Valvular interstitial cell,VIC-transitional,VIC-transitional
BI5XO_A1_geabhnad-1,BI5XO_A1,bright,Niche3,Valvular interstitial cell,VIC-osteogenic,VIC-osteogenic
BI5XO_A1_geagkhni-1,BI5XO_A1,bright,Niche3,Valvular interstitial cell,VIC-SMC,VIC-SMC
BI5XO_A1_geajebkk-1,BI5XO_A1,bright,Niche3,B cell,plasma,plasma
BI5XO_A1_geajhacf-1,BI5XO_A1,bright,Niche3,Valvular interstitial cell,VIC-SMC,VIC-pericyte
BI5XO_A1_gealamci-1,BI5XO_A1,bright,Niche3,Valvular interstitial cell,VIC-quiescent,VIC-quiescent
BI5XO_A1_gealnojj-1,BI5XO_A1,bright,Niche3,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BI5XO_A1_gebkfmjh-1,BI5XO_A1,bright,Niche3,Endothelial,VEC-vascular,VEC-venous
BI5XO_A1_gebobfog-1,BI5XO_A1,bright,Niche2,Valvular interstitial cell,VIC-transitional,VIC-transitional
BI5XO_A1_gebpdmmm-1,BI5XO_A1,bright,Niche2,Valvular interstitial cell,VIC-interstitial,VIC-interstitial
BI5XO_A1_gecfdgle-1,BI5XO_A1,bright,Niche3,Endothelial,VEC-vascular,VEC-arterial
BI5XO_A1_gechmmhf-1,BI5XO_A1,bright,Niche2,Valvular interstitial cell,VIC-interstitial,VIC-interstitial
BI5XO_A1_gecihmci-1,BI5XO_A1,bright,Niche2,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BI5XO_A1_gecjfdol-1,BI5XO_A1,bright,Niche2,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BI5XO_A1_geclgfhj-1,BI5XO_A1,bright,Niche2,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BI5XO_A1_gecmlaoo-1,BI5XO_A1,bright,Niche2,Mononuclear phagocyte,MP-macro,MP-macro-res
BI5XO_A1_gecnhelo-1,BI5XO_A1,bright,Niche2,Valvular interstitial cell,VIC-SMC,VIC-SMC
BI5XO_A1_gecpbjkl-1,BI5XO_A1,bright,Niche3,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BI5XO_A1_geeacjkj-1,BI5XO_A1,bright,Niche3,Mononuclear phagocyte,MP-DC,MP-DC-c1
BI5XO_A1_geefehjk-1,BI5XO_A1,bright,Niche2,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BI5XO_A1_geefodog-1,BI5XO_A1,bright,Niche2,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BI5XO_A1_geeggpmf-1,BI5XO_A1,bright,Niche2,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BI5XO_A1_geeibdcp-1,BI5XO_A1,bright,Niche2,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BI5XO_A1_geekchgh-1,BI5XO_A1,bright,Niche2,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BI5XO_A1_geffdlnj-1,BI5XO_A1,bright,Niche3,Valvular interstitial cell,VIC-osteogenic,VIC-remodelling
BI5XO_A1_gefhjaje-1,BI5XO_A1,bright,Niche3,B cell,plasma,plasma
BI5XO_A1_gegaapno-1,BI5XO_A1,bright,Niche3,Valvular interstitial cell,VIC-SMC,VIC-SMC
BI5XO_A1_gegibljo-1,BI5XO_A1,bright,Niche3,Endothelial,VEC-vascular,VEC-venous
BI5XO_A1_gegjehfk-1,BI5XO_A1,bright,Niche3,Valvular interstitial cell,VIC-SMC,VIC-pericyte
BI5XO_A1_gegkamdg-1,BI5XO_A1,bright,Niche3,Endothelial,VEC-vascular,VEC-capillary
BI5XO_A1_gegkkfkm-1,BI5XO_A1,bright,Niche3,Endothelial,VEC-vascular,VEC-capillary
BI5XO_A1_gehafkhe-1,BI5XO_A1,bright,Niche3,B cell,plasma,plasma
BI5XO_A1_geialoef-1,BI5XO_A1,bright,Niche3,Valvular interstitial cell,VIC-SMC,VIC-pericyte
BI5XO_A1_geinoklo-1,BI5XO_A1,bright,Niche3,B cell,plasma,plasma
BI5XO_A1_geiodklp-1,BI5XO_A1,bright,Niche3,Endothelial,VEC-vascular,VEC-arterial
BI5XO_A1_geioejlj-1,BI5XO_A1,bright,Niche3,B cell,plasma,plasma
BI5XO_A1_gejeodnd-1,BI5XO_A1,bright,Niche3,Valvular interstitial cell,VIC-transitional,VIC-transitional
BI5XO_A1_gejmjohf-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-SMC,VIC-SMC
BI5XO_A1_gejnoigh-1,BI5XO_A1,bright,Niche0,Mononuclear phagocyte,MP-macro,MP-macro-res
BI5XO_A1_gejogaja-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-SMC,VIC-SMC
BI5XO_A1_gekanhik-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-SMC,VIC-SMC
BI5XO_A1_gekdncec-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-transitional,VIC-transitional
BI5XO_A1_gekekkfo-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-SMC,VIC-SMC
BI5XO_A1_gekfkalj-1,BI5XO_A1,bright,Niche0,Mononuclear phagocyte,MP-macro,MP-macro-res
BI5XO_A1_gekhimli-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-SMC,VIC-SMC
BI5XO_A1_gekjeoln-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BI5XO_A1_gekkcmdo-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-SMC,VIC-SMC
BI5XO_A1_gekmbgfh-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-SMC,VIC-SMC
BI5XO_A1_gekpkdbg-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-SMC,VIC-SMC
BI5XO_A1_gelaofie-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-SMC,VIC-SMC
BI5XO_A1_geldnfie-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-SMC,VIC-SMC
BI5XO_A1_geljfako-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-SMC,VIC-SMC
BI5XO_A1_geljjjoe-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-transitional,VIC-transitional
BI5XO_A1_geljmeni-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-SMC,VIC-SMC
BI5XO_A1_gemdogan-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-SMC,VIC-SMC
BI5XO_A1_gemeacbd-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-SMC,VIC-SMC
BI5XO_A1_gemeeeda-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-transitional,VIC-transitional
BI5XO_A1_gemgibga-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-transitional,VIC-transitional
BI5XO_A1_gemhadnl-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-SMC,VIC-SMC
BI5XO_A1_gemimeef-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-SMC,VIC-SMC
BI5XO_A1_gemkboae-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-SMC,VIC-SMC
BI5XO_A1_gemkmhml-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-transitional,VIC-transitional
BI5XO_A1_gemlbjph-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BI5XO_A1_gemnpdfb-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-SMC,VIC-SMC
BI5XO_A1_genacnog-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-SMC,VIC-SMC
BI5XO_A1_gencafgd-1,BI5XO_A1,bright,Niche0,Endothelial,VEC-endocardial,VEC-endocardial
BI5XO_A1_geneiiba-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-SMC,VIC-SMC
BI5XO_A1_genfodnh-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-SMC,VIC-SMC
BI5XO_A1_genhpbkh-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-transitional,VIC-transitional
BI5XO_A1_genjakbb-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-SMC,VIC-SMC
BI5XO_A1_genjamem-1,BI5XO_A1,bright,Niche0,Mononuclear phagocyte,MP-macro,MP-macro-res
BI5XO_A1_genkjhnj-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-SMC,VIC-SMC
BI5XO_A1_genlagdp-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-SMC,VIC-SMC
BI5XO_A1_geoaijcb-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-SMC,VIC-SMC
BI5XO_A1_geoajghh-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-transitional,VIC-transitional
BI5XO_A1_geoclelo-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-transitional,VIC-transitional
BI5XO_A1_geogjclg-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-SMC,VIC-SMC
BI5XO_A1_geohmfll-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-SMC,VIC-SMC
BI5XO_A1_geohodlg-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-SMC,VIC-SMC
BI5XO_A1_geojdocg-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-SMC,VIC-SMC
BI5XO_A1_geokgocf-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-SMC,VIC-SMC
BI5XO_A1_geomegne-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-SMC,VIC-SMC
BI5XO_A1_geomgmpd-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BI5XO_A1_geopkdeh-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BI5XO_A1_gepekdcb-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-SMC,VIC-SMC
BI5XO_A1_gepfhbdk-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-SMC,VIC-SMC
BI5XO_A1_gepgfpnd-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-transitional,VIC-transitional
BI5XO_A1_gepifinp-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-SMC,VIC-SMC
BI5XO_A1_gepmijfl-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-SMC,VIC-SMC
BI5XO_A1_gepolang-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-SMC,VIC-SMC
BI5XO_A1_geppcdmn-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-SMC,VIC-pericyte
BI5XO_A1_geppdapd-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-SMC,VIC-SMC
BI5XO_A1_gfaanjjl-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-SMC,VIC-SMC
BI5XO_A1_gfacbeej-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-SMC,VIC-SMC
BI5XO_A1_gfajfipe-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-SMC,VIC-pericyte
BI5XO_A1_gfajlblm-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-SMC,VIC-SMC
BI5XO_A1_gfalafao-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-SMC,VIC-SMC
BI5XO_A1_gfbbhnhl-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-SMC,VIC-SMC
BI5XO_A1_gfbcfnhk-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-SMC,VIC-SMC
BI5XO_A1_gfbdnbla-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-SMC,VIC-SMC
BI5XO_A1_gfbhamhp-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-SMC,VIC-SMC
BI5XO_A1_gfbjfomc-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-SMC,VIC-SMC
BI5XO_A1_gfbkdloa-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-SMC,VIC-SMC
BI5XO_A1_gfblcopa-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-SMC,VIC-SMC
BI5XO_A1_gfblidlh-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-SMC,VIC-SMC
BI5XO_A1_gfbolkod-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-transitional,VIC-transitional
BI5XO_A1_gfbpedap-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-SMC,VIC-SMC
BI5XO_A1_gfcfhimh-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-SMC,VIC-SMC
BI5XO_A1_gfcgcinj-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-SMC,VIC-pericyte
BI5XO_A1_gfcocjdo-1,BI5XO_A1,bright,Niche3,Endothelial,VEC-vascular,VEC-activated
BI5XO_A1_gfcohenl-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-SMC,VIC-pericyte
BI5XO_A1_gfdafmca-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-SMC,VIC-SMC
BI5XO_A1_gfdcghmd-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-SMC,VIC-SMC
BI5XO_A1_gfdcpbbm-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-SMC,VIC-SMC
BI5XO_A1_gfdddbfl-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-SMC,VIC-SMC
BI5XO_A1_gfdgiach-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-SMC,VIC-SMC
BI5XO_A1_gfdhjohg-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-transitional,VIC-transitional
BI5XO_A1_gfdmonpl-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-transitional,VIC-transitional
BI5XO_A1_gfdncajj-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-SMC,VIC-SMC
BI5XO_A1_gfdnihll-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-SMC,VIC-SMC
BI5XO_A1_gfdobhde-1,BI5XO_A1,bright,Niche0,Mononuclear phagocyte,MP-macro,MP-macro-res
BI5XO_A1_gfdohdha-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-transitional,VIC-transitional
BI5XO_A1_gfeagcnh-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BI5XO_A1_gfecfefk-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-SMC,VIC-SMC
BI5XO_A1_gfekdiln-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-SMC,VIC-SMC
BI5XO_A1_gfenmigl-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-SMC,VIC-SMC
BI5XO_A1_gfeocfoj-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-transitional,VIC-transitional
BI5XO_A1_gfepfdpj-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-SMC,VIC-SMC
BI5XO_A1_gfephbbi-1,BI5XO_A1,bright,Niche0,Mononuclear phagocyte,MP-macro,MP-macro-res
BI5XO_A1_gffcccon-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-SMC,VIC-SMC
BI5XO_A1_gffcnbph-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-SMC,VIC-SMC
BI5XO_A1_gfffdhcf-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-SMC,VIC-pericyte
BI5XO_A1_gffgobka-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-transitional,VIC-transitional
BI5XO_A1_gffhbgpf-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-SMC,VIC-SMC
BI5XO_A1_gffmgbjf-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-SMC,VIC-SMC
BI5XO_A1_gffodbgp-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-transitional,VIC-transitional
BI5XO_A1_gffpplbh-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-transitional,VIC-transitional
BI5XO_A1_gfgaonhi-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-transitional,VIC-transitional
BI5XO_A1_gfgbcidh-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-transitional,VIC-transitional
BI5XO_A1_gfgfglno-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-SMC,VIC-SMC
BI5XO_A1_gfggepca-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-transitional,VIC-transitional
BI5XO_A1_gfgjdamh-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-transitional,VIC-transitional
BI5XO_A1_gfgjgfch-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-transitional,VIC-transitional
BI5XO_A1_gfgmckpg-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-SMC,VIC-SMC
BI5XO_A1_gfgmilge-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-SMC,VIC-SMC
BI5XO_A1_gfgnnopl-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-SMC,VIC-SMC
BI5XO_A1_gfhbgcfo-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-transitional,VIC-transitional
BI5XO_A1_gfhecbbo-1,BI5XO_A1,bright,Niche0,Endothelial,VEC-vascular,VEC-activated
BI5XO_A1_gfhjhbff-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-SMC,VIC-SMC
BI5XO_A1_gfhjknkg-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-SMC,VIC-SMC
BI5XO_A1_gfhkelof-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-SMC,VIC-SMC
BI5XO_A1_gfhkpekm-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-SMC,VIC-SMC
BI5XO_A1_gfhlhmpb-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-SMC,VIC-SMC
BI5XO_A1_gfhlppcf-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-SMC,VIC-SMC
BI5XO_A1_gfhnaaok-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-transitional,VIC-transitional
BI5XO_A1_gfiaplga-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-SMC,VIC-SMC
BI5XO_A1_gfidbbjp-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-transitional,VIC-transitional
BI5XO_A1_gfidbdam-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-quiescent,VIC-quiescent
BI5XO_A1_gfidcmhe-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-SMC,VIC-pericyte
BI5XO_A1_gfienbab-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-SMC,VIC-SMC
BI5XO_A1_gfifhggb-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-SMC,VIC-SMC
BI5XO_A1_gfihcmpa-1,BI5XO_A1,bright,Niche0,Mononuclear phagocyte,MP-macro,MP-macro-res
BI5XO_A1_gfihkphd-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-SMC,VIC-SMC
BI5XO_A1_gfiinjod-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-SMC,VIC-SMC
BI5XO_A1_gfiodjaj-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-SMC,VIC-SMC
BI5XO_A1_gfipkfje-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-SMC,VIC-SMC
BI5XO_A1_gfjacobk-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-SMC,VIC-SMC
BI5XO_A1_gfjbhpnh-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-SMC,VIC-SMC
BI5XO_A1_gfjblkjc-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-SMC,VIC-SMC
BI5XO_A1_gfjciecd-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,cycling,VIC-cycling
BI5XO_A1_gfjdoegl-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-SMC,VIC-SMC
BI5XO_A1_gfjnghdg-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BI5XO_A1_gfjoenbn-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-SMC,VIC-SMC
BI5XO_A1_gfkbciah-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-SMC,VIC-SMC
BI5XO_A1_gfkfahdm-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-transitional,VIC-transitional
BI5XO_A1_gfkfmilh-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-SMC,VIC-SMC
BI5XO_A1_gfkgpihm-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-SMC,VIC-SMC
BI5XO_A1_gfkhcjll-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-SMC,VIC-SMC
