,sample_id,group,scNiche,annotations_level1,annotations_level2,annotations_level3
BXNFB_C1_amdbamal-1,BXNFB_C1,dim,Niche1,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BXNFB_C1_amdbdfnn-1,BXNFB_C1,dim,Niche0,Valvular interstitial cell,VIC-transitional,VIC-transitional
BXNFB_C1_amdglcnb-1,BXNFB_C1,dim,Niche0,Valvular interstitial cell,VIC-quiescent,VIC-quiescent
BXNFB_C1_amdhookp-1,BXNFB_C1,dim,Niche1,Valvular interstitial cell,VIC-quiescent,VIC-quiescent
BXNFB_C1_amdloege-1,BXNFB_C1,dim,Niche0,Valvular interstitial cell,VIC-SMC,VIC-SMC
BXNFB_C1_amelbcco-1,BXNFB_C1,dim,Niche1,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BXNFB_C1_amemjpal-1,BXNFB_C1,dim,Niche0,Endothelial,VEC-endocardial,VEC-endocardial
BXNFB_C1_amepanka-1,BXNFB_C1,dim,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BXNFB_C1_amfiilhh-1,BXNFB_C1,dim,Niche0,Endothelial,VEC-endocardial,VEC-endocardial
BXNFB_C1_amgaohlo-1,BXNFB_C1,dim,Niche0,Valvular interstitial cell,VIC-SMC,VIC-pericyte
BXNFB_C1_amgcmhmo-1,BXNFB_C1,dim,Niche1,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BXNFB_C1_amgebdih-1,BXNFB_C1,dim,Niche1,Valvular interstitial cell,VIC-quiescent,VIC-quiescent
BXNFB_C1_amglenml-1,BXNFB_C1,dim,Niche0,Valvular interstitial cell,VIC-SMC,VIC-SMC
BXNFB_C1_amhdogan-1,BXNFB_C1,dim,Niche1,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BXNFB_C1_amhkkgnf-1,BXNFB_C1,dim,Niche1,Valvular interstitial cell,VIC-SMC,VIC-SMC
BXNFB_C1_amhldbfi-1,BXNFB_C1,dim,Niche1,Valvular interstitial cell,VIC-transitional,VIC-transitional
BXNFB_C1_amhmfihj-1,BXNFB_C1,dim,Niche1,Valvular interstitial cell,VIC-transitional,VIC-transitional
BXNFB_C1_amhopgnj-1,BXNFB_C1,dim,Niche1,Valvular interstitial cell,VIC-quiescent,VIC-quiescent
BXNFB_C1_amiilcep-1,BXNFB_C1,dim,Niche0,Valvular interstitial cell,VIC-IFN,VIC-IFN
BXNFB_C1_amimnfji-1,BXNFB_C1,dim,Niche0,Valvular interstitial cell,VIC-transitional,VIC-transitional
BXNFB_C1_amioaedf-1,BXNFB_C1,dim,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BXNFB_C1_amiobbpp-1,BXNFB_C1,dim,Niche0,Valvular interstitial cell,VIC-transitional,VIC-transitional
BXNFB_C1_amjbdemi-1,BXNFB_C1,dim,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BXNFB_C1_amjcepic-1,BXNFB_C1,dim,Niche0,Endothelial,VEC-endocardial,VEC-endocardial
BXNFB_C1_amjfkmpl-1,BXNFB_C1,dim,Niche0,T cell,T-gd,T-gd-cyto
BXNFB_C1_amjgdiaf-1,BXNFB_C1,dim,Niche0,Valvular interstitial cell,VIC-transitional,VIC-transitional
BXNFB_C1_amkaemio-1,BXNFB_C1,dim,Niche0,Valvular interstitial cell,VIC-transitional,VIC-transitional
BXNFB_C1_amkdcleo-1,BXNFB_C1,dim,Niche0,Valvular interstitial cell,VIC-transitional,VIC-transitional
BXNFB_C1_amkelooa-1,BXNFB_C1,dim,Niche0,Endothelial,VEC-endocardial,VEC-endocardial
BXNFB_C1_amkhclbp-1,BXNFB_C1,dim,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
