id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	directionality	classification	rank	plasma|plasma	plasma|T-gd	plasma|T-CD4	plasma|T-CD8	plasma|B	plasma|NK	plasma|MP-neutrophil	plasma|VEC-vascular	plasma|mast	plasma|MP-DC	T-gd|plasma	T-gd|T-gd	T-gd|T-CD4	T-gd|T-CD8	T-gd|B	T-gd|NK	T-gd|MP-neutrophil	T-gd|VEC-vascular	T-gd|mast	T-gd|MP-DC	T-CD4|plasma	T-CD4|T-gd	T-CD4|T-CD4	T-CD4|T-CD8	T-CD4|B	T-CD4|NK	T-CD4|MP-neutrophil	T-CD4|VEC-vascular	T-CD4|mast	T-CD4|MP-DC	T-CD8|plasma	T-CD8|T-gd	T-CD8|T-CD4	T-CD8|T-CD8	T-CD8|B	T-CD8|NK	T-CD8|MP-neutrophil	T-CD8|VEC-vascular	T-CD8|mast	T-CD8|MP-DC	B|plasma	B|T-gd	B|T-CD4	B|T-CD8	B|B	B|NK	B|MP-neutrophil	B|VEC-vascular	B|mast	B|MP-DC	NK|plasma	NK|T-gd	NK|T-CD4	NK|T-CD8	NK|B	NK|NK	NK|MP-neutrophil	NK|VEC-vascular	NK|mast	NK|MP-DC	MP-neutrophil|plasma	MP-neutrophil|T-gd	MP-neutrophil|T-CD4	MP-neutrophil|T-CD8	MP-neutrophil|B	MP-neutrophil|NK	MP-neutrophil|MP-neutrophil	MP-neutrophil|VEC-vascular	MP-neutrophil|mast	MP-neutrophil|MP-DC	VEC-vascular|plasma	VEC-vascular|T-gd	VEC-vascular|T-CD4	VEC-vascular|T-CD8	VEC-vascular|B	VEC-vascular|NK	VEC-vascular|MP-neutrophil	VEC-vascular|VEC-vascular	VEC-vascular|mast	VEC-vascular|MP-DC	mast|plasma	mast|T-gd	mast|T-CD4	mast|T-CD8	mast|B	mast|NK	mast|MP-neutrophil	mast|VEC-vascular	mast|mast	mast|MP-DC	MP-DC|plasma	MP-DC|T-gd	MP-DC|T-CD4	MP-DC|T-CD8	MP-DC|B	MP-DC|NK	MP-DC|MP-neutrophil	MP-DC|VEC-vascular	MP-DC|mast	MP-DC|MP-DC	VIC-transitional|VIC-transitional	VIC-transitional|VIC-IFN	VIC-transitional|VIC-remodelling	VIC-transitional|VIC-quiescent	VIC-IFN|VIC-transitional	VIC-IFN|VIC-IFN	VIC-IFN|VIC-remodelling	VIC-IFN|VIC-quiescent	VIC-remodelling|VIC-transitional	VIC-remodelling|VIC-IFN	VIC-remodelling|VIC-remodelling	VIC-remodelling|VIC-quiescent	VIC-quiescent|VIC-transitional	VIC-quiescent|VIC-IFN	VIC-quiescent|VIC-remodelling	VIC-quiescent|VIC-quiescent	VIC-transitional|VIC-osteogenic	VIC-transitional|VEC-endocardial	VIC-IFN|VIC-osteogenic	VIC-IFN|VEC-endocardial	VIC-remodelling|VIC-osteogenic	VIC-remodelling|VEC-endocardial	VIC-osteogenic|VIC-transitional	VIC-osteogenic|VIC-IFN	VIC-osteogenic|VIC-remodelling	VIC-osteogenic|VIC-osteogenic	VIC-osteogenic|VEC-endocardial	VEC-endocardial|VIC-transitional	VEC-endocardial|VIC-IFN	VEC-endocardial|VIC-remodelling	VEC-endocardial|VIC-osteogenic	VEC-endocardial|VEC-endocardial	VIC-interstitial|VIC-interstitial	VIC-interstitial|VIC-quiescent	VIC-quiescent|VIC-interstitial	MP-macro|MP-macro	MP-macro|MP-mono	MP-macro|VIC-osteogenic	MP-macro|MP-DC	MP-mono|MP-macro	MP-mono|MP-mono	MP-mono|VIC-osteogenic	MP-mono|MP-DC	VIC-osteogenic|MP-macro	VIC-osteogenic|MP-mono	VIC-osteogenic|MP-DC	MP-DC|MP-macro	MP-DC|MP-mono	MP-DC|VIC-osteogenic	VIC-SMC|VIC-SMC	VIC-SMC|VEC-vascular	VIC-SMC|cycling	VEC-vascular|VIC-SMC	VEC-vascular|cycling	cycling|VIC-SMC	cycling|VEC-vascular	cycling|cycling
CPI-SS02FBD007E	NECTIN2_NECTIN3	simple:Q92692	simple:Q9NQS3	NECTIN2	NECTIN3	False	True	False	curated	False	Adhesion-Adhesion	Adhesion by Nectin	0.236																																																																														0.462																				0.357			0.259	0.233	0.25	0.244	0.259	0.233	0.249	0.244	0.26	0.233	0.25	0.245	0.224		0.215	0.209		0.292		0.291		0.292	0.264	0.238	0.255		0.297	0.458	0.432	0.448	0.406	0.491		0.21	0.202			0.243				0.249							0.369	0.219	0.205		0.476				
CPI-SS052ADA696	JAG1_NOTCH1	simple:P78504	simple:P46531	JAG1	NOTCH1	False	False	True	curated	False	Ligand-Receptor	Signaling by Notch	0.236																																																																														0.421		0.252																					0.278		0.265	0.276	0.27		0.257	0.268	0.296		0.284	0.295	0.286		0.273	0.284	0.261	0.445	0.253	0.437	0.28	0.464	0.279		0.266	0.262	0.446	0.316		0.304	0.3	0.483			0.274									0.287	0.312	0.263				0.467	0.621	0.472	0.268	0.272			
CPI-SC0744E13CB	COL4A1_integrin_a1b1_complex	simple:P02462	complex:integrin_a1b1_complex	COL4A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.236																																																																								0.725						0.752																							0.668	0.594	0.556	0.605	0.588	0.514	0.476	0.526	0.596	0.522	0.484	0.533	0.516	0.442	0.404	0.453	0.483	0.532		0.452		0.46	0.685	0.611	0.573	0.5	0.549	0.612	0.537	0.499	0.427	0.475																		0.955	0.615	0.51	1.093	0.648			
CPI-SC00035437A	ICAM1_integrin_aLb2_complex	simple:P05362	complex:integrin_aLb2_complex	ICAM1		False	True	False	curated	True	Ligand-Receptor	Adhesion by ICAM	0.236		0.414	0.323	0.389		0.409						0.339				0.334																																				0.395	0.304	0.37		0.39						1.155	1.063	1.129		1.15				0.933		0.781	0.69	0.756		0.776				0.559		0.782	0.691	0.757		0.777				0.56		1.228	1.136	1.202		1.223				1.006																																					0.861		0.803		0.95		0.892					1.063						0.655			0.377
CPI-SC03F728659	COL4A2_integrin_a1b1_complex	simple:P08572	complex:integrin_a1b1_complex	COL4A2		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.236																																																																								0.761						0.788																							0.773	0.699	0.661	0.711	0.653	0.579	0.541	0.59	0.659	0.585	0.547	0.596	0.592	0.518	0.48	0.529	0.589	0.637		0.517		0.523	0.761	0.687	0.649	0.576	0.625	0.707	0.633	0.595	0.522	0.571																		1.127	0.786	0.682	1.129	0.684			
CPI-SS0E9A581F8	ICAM1_ITGAL	simple:P05362	simple:P20701	ICAM1	ITGAL	False	True	True	curated	False	Ligand-Receptor	Adhesion by ICAM	0.236		0.414	0.323	0.389		0.409						0.339				0.334																																				0.395	0.304	0.37		0.39						1.155	1.063	1.129		1.15				0.933		0.781	0.69	0.756		0.776				0.559		0.782	0.691	0.757		0.777				0.56		1.228	1.136	1.202		1.223				1.006																																					0.861		0.803		0.95		0.892					1.063						0.655			0.377
CPI-CS000F037BD	ProstaglandinE2_byPTGES3_PTGER2	complex:ProstaglandinE2_byPTGES3	simple:P43116		PTGER2	True	False	True	curated	False	Ligand-Receptor	Signaling by Prostaglandin	0.236												0.752	0.872	0.786		0.765				0.675		0.719	0.839	0.753		0.732				0.642		0.715	0.835	0.749		0.728				0.638			0.673									0.648	0.768	0.682		0.661																	0.729	0.643								0.666	0.786	0.7		0.679						0.67	0.79	0.704		0.683																					0.644				0.652																0.725								0.688			0.725				0.646					0.797
CPI-SS051AA0057	BAG6_NCR3	simple:P46379	simple:O14931	BAG6	NCR3	False	False	True	curated	False	Ligand-Receptor		0.242		0.265		0.179		0.333						0.302		0.216	0.198	0.37						0.31		0.224	0.206	0.378						0.308		0.222	0.204	0.376						0.295		0.209	0.191	0.363						0.324		0.238	0.22	0.392																0.357		0.271	0.253	0.425						0.297		0.211	0.193	0.365						0.374		0.288	0.27	0.442																																																								0.199		0.214			0.221
CPI-SS0F9D53834	JAM3_JAM3	simple:Q9BX67	simple:Q9BX67	JAM3	JAM3	True	False	False	curated	False	Adhesion-Adhesion	Adhesion by JAM	0.242																																																																																																					0.432	0.401	0.419	0.381	0.401	0.369	0.387	0.35	0.419	0.387	0.405	0.368	0.381	0.35	0.368	0.33	0.402	0.427	0.371	0.395	0.389	0.414	0.402	0.371	0.389	0.372	0.397	0.427	0.395	0.414	0.397	0.422	0.33	0.33	0.33															0.382	0.313		0.313				
CPI-SS0E7D5974D	TNF_TNFRSF1B	simple:P01375	simple:P20333	TNF	TNFRSF1B	True	False	True	curated	False	Ligand-Receptor	Signaling by Tumor necrosis factor	0.242												0.453	0.443	0.435		0.456	0.941			0.612		0.483	0.473	0.465		0.486	0.971	0.281		0.642		0.503	0.492	0.485		0.506	0.991	0.301		0.661																																																				1.319	1.309	1.301	1.079	1.322	1.807	1.117		1.478																																				1.273	1.669		1.386	0.958	1.354		1.07				1.365	1.761								0.527	0.698
